id,l_number,article_number,price_pp_chf,price_sp_chf,hero_image_url,very_short_description_de,short_description_de
3872,115485,F1000152,302.75,898,images/rend_SID_1.5_ws.png,"SID 1.5, Deckenleuchte, 3000K","SID 1.5, Deckenleuchte, 3000K"
3873,115448,F1000157,269.4,798,images/rend_SID_1.5_ws.png,"SID 1.2, Deckenleuchte, 3000K","SID 1.2, Deckenleuchte, 3000K"
3874,115823,F1000113,11.25,50,images/rend_VIO_ws.png,"VIO, LED Einbauspot, 90 mm Durchmesser, weiss","VIO, LED Einbauspot"
3875,115819,F1000114,11.25,50,images/rend_VIO_sw.png,"VIO, LED Einbauspot, 90 mm Durchmesser, schwarz","VIO, LED Einbauspot"
3876,115818,F1000115,14.05,64,images/rend_VIO_ge.png,"VIO, LED Einbauspot, Ø 90 mm, gebürstet","VIO, LED Einbauspot"
3877,115124,F1000105,28.2,119,images/rend_SQY_1200.png,"SQY 1200, Leuchttechnik","SQY 1200, 3000/4000K, 3510 - 5200lm"
3878,115118,F1000109,13.4,42,images/rend_SQY_Einaurahmen_1200.png,Einbaurahmen für SQY 1200,Einbaurahmen für SQY 1200
3879,115116,F1000111,10.15,32,images/rend_SQY_Anbaurahmen_1200.png,Aufbaurahmen für SQY 1200,Aufbaurahmen für SQY 1200
3880,115121,F1000106,2.8,10,images/rend_SQY_Seilpendel.png,Seilpendel-Kit für SQY 625 und 1200,Seilpendel-Kit für SQY 625 und 1200
3881,115120,F1000107,1,6,images/rend_SQY_Montagebügel.png,Montagebügel für SQY 625 und 1200,Montagebügel für SQY 625 und 1200 für weitere Deckensysteme
3885,110480,71P.86CK.234.9.C,11.4,50,images/86c.906.png,"Perfy 68, Einbaustrahler, Durchmesser 82 mm, 600-800 lm, Phasenabschnitt","Perfy 68, Einbaustrahler, Ø82 mm, 600-800 lm, Phasenabschnitt, Kristalllinse, Chrom-Finish"
3886,110478,71P.86CK.234.9.G,11.4,50,images/86c.903_Radiant.png,"Perfy 68, Einbaustrahler, Durchmesser 82 mm, 600-800 lm, Phasenabschnitt","Perfy 68, Einbaustrahler, Ø82 mm, 600-800 lm, Phasenabschnitt, Kristalllinse, gebürstetes Finish"
3887,110482,71P.86CK.234.9.M,11.4,50,images/86c.1152.png,"Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, Phasenabschnitt","Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, Phasenabschnitt, Kristalllinse, Messing"
3888,110476,71P.86CK.234.9.S,10.45,45,images/86c.904_Radiant.png,"Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, Phasenabschnitt","Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, Phasenabschnitt, Kristalllinse, Schwarz"
3889,110474,71P.86CK.234.9.W,10.45,46,images/86c.905_Radiant.png,"Perfy 68, Einbauspot, Ø82 mm, 600-800 lm, Phasenabschneidung","Perfy 68, Einbauspot, Ø82 mm, 600-800 lm, Phasenabschnitt, Kristalllinse, weiss"
3890,110501,71P.86CR.234.9.C,11.4,50,images/untitled.1089.png,"Perfy 68, LED-Einbauspot, Ø82mm, 600-800lm, Phasenabschnitt","Perfy 68, Einbauspot, Ø82mm, 600-800lm, mit Phasenabschnitt, Reflektor in Chrom"
3891,110500,71P.86CR.234.9.G,11.4,50,images/untitled.1086.png,"Perfy 68, LED-Einbauspot, Ø82mm, 600-800lm, Phasenabschnitt","Perfy 68, Einbauspot, Ø82mm, 600-800lm, mit Phasenabschnitt, Reflektor, Gebürstet"
3892,110502,71P.86CR.234.9.M,11.4,50,images/untitled.1090.png,"Perfy 68, Einbauspot, Ø82mm, 600-800lm, Phasenabschnitt","Perfy 68, Einbauspot, Ø82mm, 600-800lm, Phasenabschnitt, Reflektor, Messing"
3893,110496,71P.86CR.234.9.S,10.45,46,images/untitled.1087.png,"Perfy 68, Einbauspot, Ø82mm, 600-800lm, Phasenabschnitt","Perfy 68, Einbauspot, Ø82mm, 600-800lm, Phasenabschnitt, Reflektor, Schwarz"
3894,110494,71P.86CR.234.9.W,10.45,46,images/rend_Perfy_Reflektor_68_weiss.png,"Perfy 68, Einbauspot, Durchmesser 82 mm, 600-800lm, Reflektor, Weiss","Perfy 68, Einbauspot, Ø82mm, 600-800lm, Phasenabschnitt, Reflektor, Weiss"
3895,110490,71P.86CK.234.6.C,18.45,86,images/86c.906.png,"Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, DALI, Kris","Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, DALI-System, Kristalllinse, Chrom"
3896,110488,71P.86CK.234.6.G,18.45,86,images/86c.903_Radiant.png,"Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, DALI, Kris","Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, DALI-System, Kristalllinse, Gebuerstet"
3897,110492,71P.86CK.234.6.M,18.45,86,images/86c.1152.png,"Perfy 68, Einbauspot, Durchmesser 82 mm, 600-800 lm, DALI, Kristalllinse","Perfy 68, Einbauspot, Ø82 mm, 600-800 lm, DALI-Steuerung, Kristalllinse, Messingfinish"
3898,110486,71P.86CK.234.6.S,17.7,82,images/86c.904_Radiant.png,"Perfy 68, Einbauspot, Durchmesser 82 mm, 600-800 lm, DALI, Kristalllinse","Perfy 68, Einbauspot, Ø82 mm, 600-800 lm, DALI-Steuerung, Kristalllinse, Schwarzes Finish"
4002,125158,2.000449,109.3,348,images/000448_000449_000450.jpg,MAST NIKKO+ 45 H800 GR/MET,Mast 45 833 mm
3899,110484,71P.86CK.234.6.W,17.7,82,images/86c.905_Radiant.png,"Perfy 68, Einbauspot, Durchmesser 82 mm, 600-800 lm, DALI, Kris","Perfy 68, Einbauspot, Durchmesser 82 mm, 600-800 lm, DALI, Kristalllinse, weiss"
3900,110510,71P.86CR.234.6.C,18.45,86,images/untitled.1089.png,"Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, DALI, Reflektor","Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, DALI, Reflektor in Chrom"
3901,110508,71P.86CR.234.6.G,18.45,86,images/untitled.1086.png,"Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, DALI, Reflektor","Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, DALI, Reflektor in gebürstetem Finish"
3902,110512,71P.86CR.234.6.M,18.45,86,images/untitled.1090.png,"Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, DALI, Reflektor","Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, DALI, Reflektor aus Messing"
3903,110506,71P.86CR.234.6.S,17.7,82,images/untitled.1087.png,"Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, DALI, Reflektor","Perfy 68, Einbauspot, Durchmesser 82mm, 600-800lm, DALI, Reflektor aus schwarzem Material"
3904,110504,71P.86CR.234.6.W,17.7,82,images/rend_Perfy_Reflektor_68_weiss.png,"Perfy 68, Einbauspot, Durchmesser 82 mm, 600-800 Lumen, DALI, Reflektor","Perfy 68, Einbauspot, Durchmesser 82 mm, 600-800 Lumen, DALI-Steuerung, Reflektor, Farbe Weiss"
3905,113965,F1000168,1,7,images/rend_PERFY_Blattfeder.png,"Perfy 68, Blattfeder-Kit mit Schrauben","Perfy 68, Blattfeder-Kit mit Schrauben"
3906,125034,2.3118132,242.05,754,images/ImgAcc_DRIVER-WIN-PRO-40_StillLife_Photo.jpg,DRIVER BOX 600-2A-1CH-DMX ACC.,Vorschaltgerätebox 600-2A-1CH-DMX ACC.
3907,125036,2.3118182,19.4,85,images/ImgAcc_VISOR-10DEG-GR94-WIN-PRO-40_StillLife_Photo.jpg,VISIERA WIN PRO 40-10° GR94-ACC.,Visier WIN PRO 40 - 10°
3908,125035,2.3118121,19.4,85,images/ImgAcc_VISOR-5DEG-GR94-WIN-PRO-40_StillLife_Photo.jpg,VISIERA WIN PRO 40-5° GR94-ACC.,Visier WIN PRO 40 - 5°
3909,125037,2.3115887,9.75,37,images/WIN_PRO_CONNECTOR_KIT_FAS_01.JPG,KIT CONNETTORE 5P D. CAVO 8÷17 IP68,Abzweigdose 5P Ø 8÷17 mm - IP68
3910,125042,2.14046120,7.7,31,images/WIN_P_2_strengthening_bracket_FAS_02_lp.jpg,A0299 RINFORZO STAFFA WIN 02,Bügelverstärkung zur Befestigung des Scheinwerfers mit einer M12-Schraube
