name,manufacturer,category,family,price_chf,wattage,kelvin,inside,outside,mounting,luminaire_types,image_url,product_id,source_article_id,source_article_number,kelvin_values,source_l_number,source_version,memory_type,lambda,style,mood,finish
INSERT+ ZERO CLIP 4.5 830  GR94,Performance In Lighting - Italy,Wandeinbauleuchte,Insert+,157.0,5.0,3000.0,True,True,wall,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/INSERT_P_3_AW_AN_front_01.jpg,article_1189,1189,2.3100064,3000,112253,2,hard,0.01,minimalist,ambient,white
NIKKO+ 21 LED E.S. 10W 3000K GR/M       ,Performance In Lighting - Italy,Wandleuchte,NIKKO,173.0,10.0,3000.0,True,True,wall,outdoor,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/NKP-21_GR3_lp.jpg,article_1190,1190,2.3014106,3000,112350,1,hard,0.01,minimalist,ambient,white
LANTERNA NK27 13 S/EW 840 RB10,Performance In Lighting - Italy,,,269.0,14.5,4000.0,False,True,wall,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/LANTERNA_NK_27_RB1_FRONT_lp.jpg,article_1191,1191,2.3102568,4000,112312,1,hard,0.01,minimalist,focused,white
INSERT+3 25 A/W 840 AN96,Performance In Lighting - Italy,Wandeinbauleuchte,Insert+,383.0,27.0,4000.0,True,True,wall,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/INSERT_P_3_AW_AN_angle_02.jpg,article_1192,1192,2.3100878,4000,112268,2,hard,0.01,minimalist,focused,white
GYM+ 3 177 S/EW 840 WH87 DA,Performance In Lighting - Italy,Technische Leuchte,Gym+,955.0,125.0,4000.0,True,False,ceiling,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/GYM_P_3_ANGLE_01_lp.jpg,article_1193,1193,2.3107126,4000,112285,1,hard,0.01,minimalist,focused,white
INSERT+3 25 A/W 840 GR94,Performance In Lighting - Italy,Wandeinbauleuchte,Insert+,383.0,27.0,4000.0,True,True,wall,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/INSERT_P_3_AW_AN_angle_02.jpg,article_1194,1194,2.3100879,4000,112267,2,hard,0.01,minimalist,focused,white
INSERT+3 24 A/W 740 AN96,Performance In Lighting - Italy,Wandeinbauleuchte,Insert+,475.0,26.0,4000.0,True,True,wall,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/INSERT_P_3_A26W_AN_front_01.jpg,article_1195,1195,2.3100882,4000,112270,2,hard,0.01,minimalist,focused,white
INSERT+3 24 A/W 730 AN96,Performance In Lighting - Italy,Wandeinbauleuchte,Insert+,475.0,26.0,3000.0,True,True,wall,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/INSERT_P_3_A26W_AN_front_01.jpg,article_1196,1196,2.3100880,3000,112274,2,hard,0.01,minimalist,ambient,white
LANTERNA NK21 9 S/EW 830 RB10,Performance In Lighting - Italy,,,239.0,12.0,3000.0,False,True,wall,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/LANTERNA_NK_21_RB1_FRONT_lp.jpg,article_1197,1197,2.3102571,3000,112291,1,hard,0.01,minimalist,ambient,white
INSERT+3 24 A/W 740 GR94,Performance In Lighting - Italy,Wandeinbauleuchte,Insert+,475.0,26.0,4000.0,True,True,wall,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/INSERT_P_3_A26W_AN_front_01.jpg,article_1198,1198,2.3100875,4000,112271,2,hard,0.01,minimalist,focused,white
INSERT+3 24 A/W 730 GR94,Performance In Lighting - Italy,Wandeinbauleuchte,Insert+,475.0,26.0,3000.0,True,True,wall,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/INSERT_P_3_A26W_AN_front_01.jpg,article_1199,1199,2.3100881,3000,112273,2,hard,0.01,minimalist,ambient,white
LANTERNA NK21 9 S/EW 840 AN96,Performance In Lighting - Italy,,,239.0,12.0,4000.0,False,True,wall,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/LANTERNA_NK_21_AN96_FRONT_lp.jpg,article_1200,1200,2.3102570,4000,112292,1,hard,0.01,minimalist,focused,white
LANTERNA NK27 13 S/EW 830 AN96,Performance In Lighting - Italy,,,269.0,14.5,3000.0,False,True,wall,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/LANTERNA_NK_27_AN96_FRONT_lp.jpg,article_1201,1201,2.3102564,3000,112302,1,hard,0.01,minimalist,ambient,white
